`id,work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2025,SE,FT,Principal Data Scientist,EUR,85847,ES,100,ES,L
2,2025,MI,CT,ML Engineer,USD,30000,US,100,US,S
3,2025,MI,CT,ML Engineer,USD,25500,US,100,US,S
4,2025,SE,FT,Data Scientist,USD,175000,CA,100,CA,M
5,2025,SE,FT,Data Scientist,USD,120000,CA,100,CA,M
6,2025,SE,FT,Applied Scientist,USD,222200,US,0,US,L
7,2025,SE,FT,Applied Scientist,USD,136000,US,0,US,L
8,2025,SE,FT,Data Scientist,USD,219000,CA,0,CA,M
9,2025,SE,FT,Data Scientist,USD,141000,CA,0,CA,M
10,2025,SE,FT,Data Scientist,USD,147100,US,0,US,M
11,2025,SE,FT,Data Scientist,USD,90700,US,0,US,M
12,2025,SE,FT,Data Analyst,USD,130000,US,100,US,M
13,2025,SE,FT,Data Analyst,USD,100000,US,100,US,M
14,2025,EN,FT,Applied Scientist,USD,213660,US,0,US,L
15,2025,EN,FT,Applied Scientist,USD,130760,US,0,US,L
16,2025,SE,FT,Data Modeler,USD,147100,US,0,US,M
17,2025,SE,FT,Data Modeler,USD,90700,US,0,US,M
18,2025,SE,FT,Data Scientist,USD,170000,US,0,US,M
19,2025,SE,FT,Data Scientist,USD,150000,US,0,US,M
20,2025,MI,FT,Data Analyst,USD,150000,US,100,US,M
21,2025,MI,FT,Data Analyst,USD,110000,US,100,US,M
22,2025,SE,FT,Research Engineer,USD,275000,DE,0,DE,M
23,2025,SE,FT,Research Engineer,USD,174000,DE,0,DE,M
24,2025,SE,FT,Analytics Engineer,USD,230000,GB,100,GB,M
25,2025,SE,FT,Analytics Engineer,USD,143200,GB,100,GB,M
26,2025,SE,FT,Business Intelligence Engineer,USD,225000,US,0,US,M
27,2025,SE,FT,Business Intelligence Engineer,USD,156400,US,0,US,M
28,2025,SE,FT,Machine Learning Engineer,USD,200000,US,0,US,M
29,2025,SE,FT,Machine Learning Engineer,USD,130000,US,0,US,M
30,2025,SE,FT,Data Strategist,USD,90000,CA,0,CA,M
31,2025,SE,FT,Data Strategist,USD,72000,CA,0,CA,M
32,2025,SE,FT,Data Engineer,USD,253200,US,0,US,M
33,2025,SE,FT,Data Engineer,USD,90700,US,0,US,M
34,2025,SE,FT,Computer Vision Engineer,USD,342810,US,0,US,M
35,2025,SE,FT,Computer Vision Engineer,USD,184590,US,0,US,M
36,2025,MI,FT,Data Engineer,USD,162500,US,0,US,M
37,2025,MI,FT,Data Engineer,USD,130000,US,0,US,M
38,2025,MI,FT,Data Analyst,USD,105380,US,0,US,M
39,2025,MI,FT,Data Analyst,USD,64500,US,0,US,M
42,2024,MI,FT,Machine Learning Engineer,INR,20984,IN,50,IN,L
43,2025,EN,FT,Applied Scientist,USD,204620,US,0,US,L
44,2025,EN,FT,Applied Scientist,USD,110680,US,0,US,L
45,2025,SE,FT,Data Engineer,USD,270703,US,0,US,M
46,2025,SE,FT,Data Engineer,USD,221484,US,0,US,M
47,2025,SE,FT,Data Scientist,USD,212750,US,100,US,M
48,2025,SE,FT,Data Scientist,USD,185000,US,100,US,M
49,2025,SE,FT,Data Scientist,USD,262000,US,100,US,M
50,2025,SE,FT,Data Scientist,USD,245000,US,100,US,M
51,2025,SE,FT,Data Scientist,USD,275300,US,100,US,M
52,2025,SE,FT,Data Scientist,USD,183500,US,100,US,M
53,2025,SE,FT,Data Scientist,USD,218500,US,100,US,M
54,2025,SE,FT,Data Scientist,USD,199098,US,100,US,M
55,2025,SE,FT,Data Engineer,USD,203300,US,100,US,M
56,2025,SE,FT,Data Engineer,USD,123600,US,100,US,M
57,2025,SE,FT,Research Engineer,USD,189110,US,0,US,M
58,2025,SE,FT,Research Engineer,USD,139000,US,0,US,M
59,2025,EX,FT,Data Scientist,USD,258750,US,0,US,M
60,2025,EX,FT,Data Scientist,USD,185000,US,0,US,M
61,2025,SE,FT,Data Engineer,USD,231500,US,100,US,M
62,2025,SE,FT,Data Engineer,USD,166000,US,100,US,M
63,2025,SE,FT,Data Scientist,USD,172500,US,100,US,M
64,2025,SE,FT,Data Scientist,USD,110500,US,100,US,M
65,2025,SE,FT,Data Engineer,USD,238000,US,0,US,M
66,2025,SE,FT,Data Engineer,USD,176000,US,0,US,M
67,2025,SE,FT,Data Engineer,USD,237000,US,100,US,M
68,2025,SE,FT,Data Engineer,USD,201450,US,100,US,M
69,2025,SE,FT,Applied Scientist,USD,309400,US,0,US,L
70,2025,SE,FT,Applied Scientist,USD,159100,US,0,US,L
71,2025,SE,FT,Data Engineer,USD,115000,US,0,US,M
72,2025,SE,FT,Data Engineer,USD,81500,US,0,US,M
73,2025,SE,FT,Data Scientist,USD,237000,US,100,US,M
74,2025,SE,FT,Data Scientist,USD,201450,US,100,US,M
75,2025,SE,FT,Computer Vision Engineer,USD,280000,US,0,US,M
76,2025,SE,FT,Computer Vision Engineer,USD,210000,US,0,US,M
77,2025,SE,FT,Data Architect,USD,280100,US,100,US,M
78,2025,SE,FT,Data Architect,USD,168100,US,100,US,M
79,2025,SE,FT,Data Engineer,USD,193500,US,100,US,M
80,2025,SE,FT,Data Engineer,USD,139000,US,100,US,M
83,2025,MI,FT,Applied Machine Learning Engineer,EUR,69751,IN,100,DE,S
84,2024,EN,FT,AI Developer,USD,300000,IN,50,IN,L
86,2025,SE,FT,Business Intelligence Engineer,USD,185900,US,0,US,M
87,2025,SE,FT,Business Intelligence Engineer,USD,129300,US,0,US,M
88,2025,SE,FT,Data Engineer,USD,225000,US,100,US,M
89,2025,SE,FT,Data Engineer,USD,175000,US,100,US,M
90,2025,SE,FT,Data Engineer,USD,185000,US,0,US,M
91,2025,SE,FT,Data Engineer,USD,140000,US,0,US,M
92,2025,SE,FT,Data Scientist,EUR,48289,ES,0,ES,M
93,2025,SE,FT,Data Scientist,EUR,38631,ES,0,ES,M
94,2025,SE,FT,Data Scientist,USD,105000,US,0,US,M
95,2025,SE,FT,Data Scientist,USD,70000,US,0,US,M
96,2025,EN,FT,Machine Learning Engineer,USD,163196,US,0,US,M
97,2025,EN,FT,Machine Learning Engineer,USD,145885,US,0,US,M
98,2025,SE,FT,Data Engineer,USD,217000,US,100,US,M
99,2025,SE,FT,Data Engineer,USD,185000,US,100,US,M
100,2025,SE,FT,Data Analyst,USD,202800,US,0,US,L
101,2025,SE,FT,Data Analyst,USD,104300,US,0,US,L
102,2025,SE,FT,Data Analyst,USD,145000,US,0,US,M
103,2025,SE,FT,Data Analyst,USD,65000,US,0,US,M
104,2025,SE,FT,Data Engineer,USD,165000,US,0,US,M
105,2025,SE,FT,Data Engineer,USD,132300,US,0,US,M
106,2025,SE,FT,Data Engineer,USD,179170,US,0,US,M
107,2025,SE,FT,Data Engineer,USD,94300,US,0,US,M
